date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:35	135391/135391	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:51:33%20GMT	https://www.keyobbq.com/product/ky20536ch-pizza-peel.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky20536ch-pizza-peel.html	(from https://www.keyobbq.com/products/bbq-accessories/4.html)
10:51:41	98772/98772	---M--	200	added ('OK')	image/jpeg	etag:%22FgCZCOPiVglPH9DvykxUUh9yhyXC%22	http://v4-upload.goalsites.com/377/image_1603097692_KY940695AWQ%ef%bc%882%ef%bc%89.jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603097692_KY940695AWQ%ef%bc%882%ef%bc%89.jpg_;%20filename_=utf-8''image_1603097692_KY940695AWQ%EF%BC%882%EF%BC%89.jpg	(from https://www.keyobbq.com/products/bbq-accessories/4.html)
10:51:44	136650/136650	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:51:42%20GMT	https://www.keyobbq.com/product/ky1701-charcoal-starter.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky1701-charcoal-starter.html	(from https://www.keyobbq.com/products/bbq-accessories/4.html)
10:51:52	127468/127468	---M--	200	added ('OK')	image/jpeg	etag:%22FkJlD54s32oIcct41E1-IrqkE-Gh%22	http://v4-upload.goalsites.com/377/image_1603098755_KY20AB-BBQ-BRUSH(1).jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603098755_KY20AB-BBQ-BRUSH(1).jpg_;%20filename_=utf-8''image_1603098755_KY20AB-BBQ-BRUSH%281%29.jpg	(from https://www.keyobbq.com/products/bbq-accessories/4.html)
10:51:55	135670/135670	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:51:53%20GMT	https://www.keyobbq.com/product/ky6206-bbq-grill.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky6206-bbq-grill.html	(from https://www.keyobbq.com/products/bbq-accessories/4.html)
10:52:13	2628137/2628137	---M--	200	added ('OK')	image/jpeg	etag:%22FlsT1Rtf_3r0VqL5chYApxsuV4Kk%22	http://v4-upload.goalsites.com/377/image_1603088314_09.jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603088314_09.jpg_;%20filename_=utf-8''image_1603088314_09.jpg	(from https://www.keyobbq.com/products/bbq-accessories/2.html)
10:52:15	120629/120629	---M--	200	added ('OK')	image/jpeg	etag:%22FkjgPz8NghFvdXePEkokKoA1BstZ%22	http://v4-upload.goalsites.com/377/image_1603160534_FR-KY6206-(1).jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603160534_FR-KY6206-(1).jpg_;%20filename_=utf-8''image_1603160534_FR-KY6206-%281%29.jpg	(from https://www.keyobbq.com/products/bbq-accessories/4.html)
10:52:16	137167/137167	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:52:15%20GMT	https://www.keyobbq.com/product/ky20b-bbq-cleaning-brush.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky20b-bbq-cleaning-brush.html	(from https://www.keyobbq.com/products/bbq-accessories/4.html)
10:52:17	202500/202500	---M--	200	added ('OK')	image/jpeg	etag:%22FiHzGe6dT76y5Zr8HJNNrqv538pL%22	http://v4-upload.goalsites.com/377/image_1603156873_KY1701%e4%b8%bb%e5%9b%be.jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603156873_KY1701%e4%b8%bb%e5%9b%be.jpg_;%20filename_=utf-8''image_1603156873_KY1701%E4%B8%BB%E5%9B%BE.jpg	(from https://www.keyobbq.com/products/bbq-accessories/4.html)
10:52:20	135719/135719	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:52:18%20GMT	https://www.keyobbq.com/product/ky36a-bbq-cleaning-brush.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky36a-bbq-cleaning-brush.html	(from https://www.keyobbq.com/products/bbq-accessories/4.html)
